1215,Beverly Hills Public School,93.1
1217,Bexhill Public School,94.3
2308,Bexley North Public School,95.2
7406,Bexley Public School,93.5
1219,Bibbenluke Public School,
4206,Biddabah Public School,95.4
4480,Bidwill Public School,86.7
1223,Bigga Public School,92.1
1224,Bilambil Public School,94.3
1225,Bilbul Public School,
4359,Bilgola Plateau Public School,94.1
8503,Billabong High School,89.1
1228,Bilpin Public School,92.8
1230,Binalong Public School,92
1231,Binda Public School,91.6
1234,Bingara Central School,89.9
1237,Binnaway Central School,85.4
1238,Binya Public School,93.6
3988,Biraban Public School,88.6
1240,Birchgrove Public School,96.2
8213,Birrong Boys High School,85.6
8854,Birrong Girls High School,91.3
4057,Birrong Public School,94.8
1247,Black Hill Public School,95.6
1249,Black Mountain Public School,94.1
4190,Black Springs Public School,96.8
3966,Blackalls Park Public School,93.6
4453,Blackett Public School,88.7
1246,Blackheath Public School,93.6
4197,Blacksmiths Public School,95.4
8244,Blacktown Boys High School,92.2
8224,Blacktown Girls High School,91.8
4061,Blacktown North Public School,91.8
4193,Blacktown South Public School,93.8
4116,Blacktown West Public School,91.7
1252,Blackville Public School,95.9
4559,Blackwell Public School,93.4
4535,Blairmount Public School,93.2
1254,Blakebrook Public School,92.2
8236,Blakehurst High School,91.8
1255,Blakehurst Public School,94.8
1256,Blandford Public School,96
1257,Blaxcell Street Public School,92.1
4313,Blaxland East Public School,94.9
8522,Blaxland High School,91.8
1258,Blaxland Public School,92.8
8357,Blayney High School,90.1
1260,Blayney Public School,94.5
5265,Bletchington Public School,93.3
4585,Bligh Park Public School,92.9
1261,Blighty Public School,95.7
4623,Blue Haven Public School,91.8
1266,Boambee Public School,94.3
1269,Bobin Public School,92.7
1271,Bobs Farm Public School,90.8
1272,Bodalla Public School,92.3
1274,Bogan Gate Public School,95.8
4632,Bogangar Public School,93.3
1275,Boggabilla Central School,73.4
1276,Boggabri Public School,91.5
1286,Bolwarra Public School,94.4
8448,Bomaderry High School,88.2
1287,Bomaderry Public School,92.3
8486,Bombala High School,90.6
1288,Bombala Public School,93.5
1290,Bonalbo Central School,78.9
1292,Bondi Beach Public School,96.9
7407,Bondi Public School,94.3
1293,Bongongo Public School,97.2
2532,Bonnells Bay Public School,93.6
4507,Bonnet Bay Public School,95.4
4594,Bonnyrigg Heights Public School,93.3
8260,Bonnyrigg High School,94.2
4545,Bonnyrigg Public School,95.9
1296,Bonshaw Public School,94.5
1297,Bonville Public School,94.8
1302,Boolaroo Public School,91.6
1303,Booligal Public School,92.4
1307,Boomi Public School,91.9
4017,Booragul Public School,92.6
1311,Booral Public School,94.2
1313,Boorowa Central School,90.7
1318,Boree Creek Public School,95.7
3504,Borenore Public School,96.1
1320,Boronia Park Public School,95.2
8582,Bossley Park High School,93.4
1321,Bossley Park Public School,94.2
1323,Botany Public School,94.5
8355,Bourke High School,74.5
1326,Bourke Public School,92
7408,Bourke Street Public School,94.2
4538,Bowen Public School,91.9
1334,Bowning Public School,94.3
8104,Bowral High School,90.2
1335,Bowral Public School,94.7
1336,Bowraville Central School,86.8
4403,Bradbury Public School,93.6
4525,Braddock Public School,90.8
4406,Bradfordville Public School,94.8
1340,Braidwood Central School,89.1
1341,Branxton Public School,93
1345,Breadalbane Public School,95.2
1347,Bredbo Public School,92.8
1350,Brewarrina Central School,83.9
4458,Briar Road Public School,92
1354,Bribbaree Public School,88.9
5540,Bridge Road School,
1358,Brighton-Le-Sands Public School,93.5
1360,Bringelly Public School,90.5
8513,Brisbane Water Secondary College Umina Campus,87.3
8374,Brisbane Water Secondary College Woy Woy Campus,85.9
1498,Brisbania Public School,93.5
1361,Broadwater Public School,94
1363,Brocklesby Public School,95.1
5529,Broderick Gillawarna School,
1367,Broke Public School,94.3
8105,Broken Hill High School,85.5
1371,Broken Hill North Public School,89.9
1369,Broken Hill Public School,91.2
1372,Bronte Public School,96.1
4566,Brooke Avenue Public School,91.6
1377,Brooklyn Public School,94.1
1379,Brookvale Public School,93.5
4612,Broulee Public School,93.8
1387,Brungle Public School,96.9
1389,Brunswick Heads Public School,93.4
5749,Budawang School,
4183,Budgewoi Public School,92.6
1402,Bulahdelah Central School,88.9
4228,Bullarah Public School,85.5
8878,Bulli High School,90
1411,Bulli Public School,93.6
5569,Bullimbal School,
1414,Bundanoon Public School,94.1
1415,Bundarra Central School,90.2
3765,Bundeena Public School,94.1
1421,Bungendore Public School,93.2
1424,Bungwahl Public School,93.1
4616,Buninyong Public School,88.3
1425,Bunnaloo Public School,93.8
1432,Burke Ward Public School,91
1433,Burnside Public School,96.3
1688,Buronga Public School,92.7
1437,Burraga Public School,94.9
4259,Burraneer Bay Public School,94.8
1445,Burrawang Public School,92.3
1447,Burren Junction Public School,92.2
1449,Burringbar Public School,93.4
1453,Burrumbuttock Public School,94.8
8152,Burwood Girls High School,94.5
1455,Burwood Public School,95.3
4337,Busby Public School,92.2
4396,Busby West Public School,91.6
1460,Buxton Public School,93.2
1461,Byabarra Public School,
1464,Bylong Upper Public School,
8577,Byron Bay High School,88.7
1470,Byron Bay Public School,91.7
1471,Cabbage Tree Island Public School,89.5
8209,Cabramatta High School,93.3
1472,Cabramatta Public School,94.8
3980,Cabramatta West Public School,93.4
3928,Cabramurra Public School,sp
4615,Caddies Creek Public School,94.7
5606,Cairnsfoot School,
4380,Calare Public School,93.7
5573,Caldera School,
8880,Callaghan College Jesmond Senior Campus,na
8259,Callaghan College Wallsend Campus,88.1
8508,Callaghan College Waratah Campus,91.6
4626,Callala Public School,92.9
1481,Cambewarra Public School,94.3
4484,Cambridge Gardens Public School,94.1
8516,Cambridge Park High School,88
4060,Cambridge Park Public School,92.2
8280,Camden Haven High School,88.9
8217,Camden High School,88.8
1482,Camden Public School,94.1
4286,Camden South Public School,94.7
1483,Camdenville Public School,94.1
1485,Cammeray Public School,96.6
8910,Cammeraygal High School,94.2
5735,Campbell House School,
4490,Campbellfield Public School,91.7
4277,Campbelltown East Public School,91.5
4126,Campbelltown North Public School,91.8
8180,Campbelltown Performing Arts High School,86.1
1486,Campbelltown Public School,93.2
1488,Campsie Public School,94.7
1490,Candelo Public School,92.2
1492,Caniaba Public School,92.9
3983,Canley Heights Public School,92.9
8393,Canley Vale High School,95
1494,Canley Vale Public School,94.4
1495,Canobolas Public School,95.7
8444,Canobolas Rural Technology High School,81.7
8518,Canowindra High School,87.1
7301,Canowindra Public School,93.2
8107,Canterbury Boys High School,89.4
8806,Canterbury Girls High School,92.2
1497,Canterbury Public School,93.5
5109,Canterbury South Public School,94.7
5759,Canterbury Vale School,
1501,Capertee Public School,95.5
1502,Captains Flat Public School,93.1
1503,Caragabal Public School,93.4
1504,Carcoar Public School,95.8
8903,Cardiff High School,89
5260,Cardiff North Public School,95.2
1505,Cardiff Public School,93.7
3895,Cardiff South Public School,95.6
5610,Carenne School,
1506,Cargo Public School,96.7
1507,Carinda Public School,92.3
8240,Caringbah High School,97
3972,Caringbah North Public School,96.1
1508,Caringbah Public School,94.9
5703,Carinya School,
8447,Carlingford High School,95.5
7302,Carlingford Public School,96
4393,Carlingford West Public School,96.4
1512,Carlton Public School,94.7
1513,Carlton South Public School,94.1
5652,Caroline Chisholm School,
1515,Carool Public School,94.7
3328,Carramar Public School,94
