postcode,crimes,,,,,,,,,,,,,,
2540,2217,,,,,,,,,,,,,,
2541,3880,,,,,,,,,,,,,,
2545,69,,,,,,,,,,,,,,
2546,705,,,,,,,,,,,,,,
2548,461,,,,,,,,,,,,,,
2549,96,,,,,,,,,,,,,,
2550,960,,,,,,,,,,,,,,
2551,420,,,,,,,,,,,,,,
2555,48,,,,,,,,,,,,,,
2556,114,,,,,,,,,,,,,,
2557,405,,,,,,,,,,,,,,
2558,451,,,,,,,,,,,,,,
2559,590,,,,,,,,,,,,,,
2560,10248,,,,,,,,,,,,,,
2563,33,,,,,,,,,,,,,,
2564,2409,,,,,,,,,,,,,,
2565,1440,,,,,,,,,,,,,,
2566,1457,,,,,,,,,,,,,,
2567,2209,,,,,,,,,,,,,,
2568,28,,,,,,,,,,,,,,
2569,60,,,,,,,,,,,,,,
2570,1631,,,,,,,,,,,,,,
2571,508,,,,,,,,,,,,,,
2572,157,,,,,,,,,,,,,,
2573,290,,,,,,,,,,,,,,
2574,209,,,,,,,,,,,,,,
2575,679,,,,,,,,,,,,,,
2576,711,,,,,,,,,,,,,,
2577,1012,,,,,,,,,,,,,,
2578,44,,,,,,,,,,,,,,
2579,159,,,,,,,,,,,,,,
2580,2289,,,,,,,,,,,,,,
2581,80,,,,,,,,,,,,,,
2582,623,,,,,,,,,,,,,,
2583,124,,,,,,,,,,,,,,
2584,10,,,,,,,,,,,,,,
2585,18,,,,,,,,,,,,,,
2586,119,,,,,,,,,,,,,,
2587,186,,,,,,,,,,,,,,
2588,17,,,,,,,,,,,,,,
2590,544,,,,,,,,,,,,,,
2594,1070,,,,,,,,,,,,,,
2619,299,,,,,,,,,,,,,,
2620,3302,,,,,,,,,,,,,,
2621,227,,,,,,,,,,,,,,
2622,202,,,,,,,,,,,,,,
2623,17,,,,,,,,,,,,,,
2625,49,,,,,,,,,,,,,,
2626,21,,,,,,,,,,,,,,
2627,404,,,,,,,,,,,,,,
2628,83,,,,,,,,,,,,,,
2629,44,,,,,,,,,,,,,,
2630,529,,,,,,,,,,,,,,
2631,22,,,,,,,,,,,,,,
2632,68,,,,,,,,,,,,,,
2633,23,,,,,,,,,,,,,,
2640,4465,,,,,,,,,,,,,,
2641,1764,,,,,,,,,,,,,,
2642,171,,,,,,,,,,,,,,
2643,119,,,,,,,,,,,,,,
2644,114,,,,,,,,,,,,,,
2645,20,,,,,,,,,,,,,,
2646,604,,,,,,,,,,,,,,
2647,164,,,,,,,,,,,,,,
2648,251,,,,,,,,,,,,,,
2649,2,,,,,,,,,,,,,,
2650,7802,,,,,,,,,,,,,,
2651,153,,,,,,,,,,,,,,
2652,248,,,,,,,,,,,,,,
2653,166,,,,,,,,,,,,,,
2655,61,,,,,,,,,,,,,,
2656,116,,,,,,,,,,,,,,
2658,62,,,,,,,,,,,,,,
2659,31,,,,,,,,,,,,,,
2660,93,,,,,,,,,,,,,,
2661,17,,,,,,,,,,,,,,
2663,521,,,,,,,,,,,,,,
2665,110,,,,,,,,,,,,,,
2666,465,,,,,,,,,,,,,,
2668,28,,,,,,,,,,,,,,
2669,122,,,,,,,,,,,,,,
2671,301,,,,,,,,,,,,,,
2672,257,,,,,,,,,,,,,,
2675,142,,,,,,,,,,,,,,
2678,7,,,,,,,,,,,,,,
2680,3034,,,,,,,,,,,,,,
2681,61,,,,,,,,,,,,,,
2700,738,,,,,,,,,,,,,,
2701,128,,,,,,,,,,,,,,
2702,66,,,,,,,,,,,,,,
2703,55,,,,,,,,,,,,,,
2705,1070,,,,,,,,,,,,,,
2706,127,,,,,,,,,,,,,,
2707,47,,,,,,,,,,,,,,
2710,937,,,,,,,,,,,,,,
2711,695,,,,,,,,,,,,,,
2712,56,,,,,,,,,,,,,,
2713,156,,,,,,,,,,,,,,
2714,215,,,,,,,,,,,,,,
2715,131,,,,,,,,,,,,,,
2716,35,,,,,,,,,,,,,,
